role,experience_level,languages,tech_keywords,projects
Principal Infrastructure Engineer - @Autodesk Construction Cloud / @plangrid; ex-@digitalocean,Expert,"['Shell', 'Python', 'HTML', 'Go', 'CSS']","['digitalocean', 'prometheus', 'KerbalStuff', 'elasticsearch', 'Ore', 'cd', 'helm', 'machine', 'operator', 'client']","['Declarative continuous deployment for Kubernetes.', 'Terraform Pull Request Automation', 'RSpec tests for your AWS resources.', 'DigitalOcean Toolbox', 'An API wrapper for Discord written in Python.', ""DO-AutoVPN is an automatic VPN instance creation tool utilizing Digital Ocean's services."", 'Prometheus exporter plugin for ElasticSearch', 'Elasticsearch stats exporter for Prometheus', 'Backend for Discord for Errbot ', 'Errbot is a chatbot, a daemon that connects to your favorite chat service and bring your tools and some fun into the conversation.', 'Bootstrap a Flask project on Ubuntu Trusty, with Puppet, Vagrant and Fabric.', 'Helm Charts for CoreDNS', 'A library for interacting/scrapping Icinga 1 CGI endpoints', 'Mod site for KSP', 'LauncherCore - API Connection and Services', 'Machine management for a container-centric world', 'A custom launcher for Minecraft that allows you to easily manage multiple installations of Minecraft at once', 'IRC CloudBot plugin for accessing NEM data', 'A Plugin for Renol to utilize and assist the NotEnoughMods project', 'Ohai profiles your system and emits JSON', 'Kubernetes Operator for OpenTelemetry Collector', 'The Sponge package repository', ""A python client for PagerDuty's API, v2.0+"", 'Homework Problem for DevOps/SRE position']"
,Expert,"['Python', 'HTML', 'Shell', 'CSS', 'JavaScript']","['cmfk', 'designSpaceRoboFontExtension', 'coverage', 'GlyphConstruction', 'hTools2', 'font', 'sldr', 'CornerTools', 'editThatNextMasterRoboFontExtension', 'fonttools']","['RoboFontExtension', 'Adobe Font Development Kit for OpenType', 'Wedding Site', 'cross-platform display typography in python', 'Personal Site.', 'A set of tools to work on corners of an outline. ', 'Python package for RoboFont for calculating gray values.', 'A RoboFont extension for creating and editing designspace documents.', 'A RoboFont extension that makes switching glyph, space or font windows super easy.', 'Some tools for working with UFOs in RoboFont.', 'An old, but still occasionally used, library for interacting with .fea files.', 'Preview features, previously know as Area51', 'A template for Type@Cooper Font Production workshop', 'A template for Type@Cooper Font Production workshop (Glyphs version)', 'Compile fonts from sources (UFO, Glyphs) to binary (OpenType, TrueType).', 'The replacement for RoboFab', 'A library to manipulate font files from Python.', 'A command line font editor', 'Scripts for Glyphs.', 'UFO-based Python-powered font production toolkit', 'Tool for interpolated glyph scaling, based on FontParts, FontTools, MutatorMath & BooleanOperations.', 'RoboFab', 'An interactive Python interpreter for RoboFont.', 'Fiddle with proportions of a glyph while keeping stem widths consistent. ', 'Custom editing tool for RoboFont editor.', 'SIL Locale Data Repository', ""Add a change case button to Robofont's Space Center""]"
,Expert,"['C', 'Makefile', 'Shell', 'Python', 'C++']","['dhcp', 'iperf', '4.16', 'lede', 'busybox_ct', 'iwlwifi', 'ath10k', 'ares', 'scripts', 'wget']","['Stand-alone ath10k driver based on 4.7 Candela Kernel.', 'Stand-alone ath10k driver based on Candela Technologies Linux kernel.', 'backport-iwlwifi with -ct kernel changes applied on top.', 'Backports project optimized to backport CT kernels.', 'Backports package generated from the linux-4.16-ct kernel.', 'Backports package created from candela ct-5.13 kernel.', 'Backports package created from linux-ct 5.7 kernel', 'Copy of busybox configured for building with Android NDK.', 'c-ares is a C library that performs DNS requests and name resolves asynchronously. ', 'CARL9170 Firmware:  Updates to allow RF-pattern integration with host driver.', 'Clone of crda (git://git.kernel.org/pub/scm/linux/kernel/git/mcgrof/crda.git)', 'Dual-mode Bluetooth stack, with small memory footprint.', 'Fork of wget tool, likely no useful changes from upstream wget repo.', 'Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, TFTP, SCP, SFTP, TELNET, DICT, LDAP. LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features', 'Modified version of DHCP from Fedora 14.', 'ell hands-free library', 'Fork of ethtool: git://git.kernel.org/pub/scm/network/ethtool/ethtool.git', 'CT instance of hackrf', 'Fork of hostap:  git://w1.fi/srv/git/hostap.git', 'iperf3:  A TCP, UDP, and SCTP network bandwidth measurement tool', 'Clone of iproute2 with a few improvements, from: git://git.kernel.org/pub/scm/linux/kernel/git/shemminger/iproute2.git', 'Candela Technologies iptables clone', ""Fork of the 'iw' wireless tools:  http://git.sipsolutions.net/iw.git"", 'JFreeChart - Future State Edition', 'Candela Technologies fork of JFreeChart-FSE repository.', 'Fork of jmathplot, with some build fixes.', 'Scripts and other open-source tools to be used with the LANforge software suite.', 'Fork of lede-project/source repo, has some tweaks for easier use on apu2 platform.', ""Clone of netfilter's libmnl: git://git.netfilter.org/libmnl""]"
,Expert,"['Lua', 'C', 'C++', 'Batchfile', 'TypeScript']","['regexworkbench', 'windows', 'autotrim', 'sudo', 'repro_enable_mouse_input', 'powerline', 'my', 'darkmode', 'fzf', 'local']","['Process ANSI escape sequences for Windows console programs.', 'Visual studio code extension to preview the opening line of code matching the inspected closing bracket', ""Bash's powerful command line editing in cmd.exe"", 'Completion files to clink util', 'Flex prompt for Clink', 'Fzf integration for Clink', 'A library of Lua scripts for use with Clink https://github.com/chrisant996/clink.', 'Lovely console emulator package for Windows', 'Custom prompt for Cmder on Windows', 'Customizable Windows terminal with tabs, splits, quake-style, hotkeys and more', 'Standalone exe to reproduce ConEmu issue 2404', 'DebugView++, collects, views, filters your application logs, and highlights information that is important to you!', 'Disk space usage visualizer', 'For experimenting with github pages', ':cherry_blossom: A command-line fuzzy finder', 'Interactive line completion for VS Code', 'local-history for vscode', 'Visual Studio C++ debugger extensions for Lua', 'A prompt theme engine for any shell.', 'Share Readline changes made in the context of Clink', 'Demonstrate how to use Readline in a Windows console program', 'A Visual Studio Code extension that allows one to easily play with regular expressions', 'Repro Terminal 1.18 issue with ENABLE_MOUSE_INPUT.', 'Underlined matching brackets for VSCode', 'Sudo tool for Windows (Super User Do)', ""A simple extension for automatically trimming whitespace from lines after they've been edited"", 'Read-Only Indicator Extension for Visual Studio Code', 'A VS Code extension that allows you to highlight trailing spaces and delete them in a flash!', 'Example application shows how to use undocumented dark mode API introduced in Windows 10 1809.']"
,Expert,"['Python', 'Shell', 'Dockerfile', 'Makefile', 'CSS']","['shardis', 'taxonomy', 'schema', 'MinistryOfPackages', 'client', 'rsted', 'api', 'curtain', 'starter', 'jonesy']","['A syslog listener/server that forwards messages to AMQP ', 'A command line interface for testing/playing with amqp servers (namely, RabbitMQ)', 'A tool for generating self-contained, type-safe test doubles in go', 'Helper class/decorator for adding HTTP Digest Authentication to Tornado Web Server apps. ', 'A django app to support whatever classification type (category, label, tag) you can dream up. ', 'A *prototype* for an AMQP processor development framework', 'AMQP libevent Python client', 'An operational management platform for medium to large environments', 'The API backend for Imbi', 'The OpenAPI spec for Imbi', 'DDL for the Imbi PostgreSQL Database', 'Browser-based Imbi front-end application', 'An easy-to-use daemonization library for Python applications', 'Experimenting w/ RMM Level 3 API design', 'A wrapper class for the Python standard logging module', 'A command line log parsing/reporting tool for Apache combined format logs. ', 'A Cron-like timer for AMQP', 'A minimal PyPI implementation using Tornado, meant for use behind a firewall. ', 'AMQP 0-9-1 client library for Python', 'The pugip.org web site', 'python elasticsearch client', 'A hastily-coded prototype for a stupid-simple system metrics gathering... thing.', ""Python module for getting system information stored in the '/proc' filesystem "", 'A Python module to communicate w/ the RabbitMQ HTTP Management API', 'Command line tool to print complete source code of requested methods/functions from modules or source files.', 'Starter Code for the React MyReads Project', 'Python clients for Riak.', 'Online reStructuredText editor', 'A redis client that supports sharding (subclasses redis-py objects)']"
Follower of Christ and senior software engineer @Federato.  Formerly @Widen.,Expert,"['JavaScript', 'TypeScript', 'Shell', 'Lua', 'CSS']","['dottie', 'bk', 'bm', 'nvim', 'sort', 'eslint', 'ama', 'browserslist', 'notion', 'tab']","['A light-weight lint workflow to unite the worlds of GitHub and Jira', 'Ask me anything!', ""The fugitive's sidekick"", 'Bible reading plan generator', 'A simple Android/iOS app that recognizes bible verses in text.', 'Command line tool for interacting with Buildkite pipelines, builds, and more.', 'Open bookmarks from the Arc browser in your terminal.', 'Quickly update your saved bookmark URL with the current page URL.', 'Supported browsers in my projects.', 'A snazzy bufferline for Neovim', 'CLI tool to create bytes (mini posts) for my website.', 'The source repository for my website\'s ""bytes"" (mini posts).', 'Github action to remind users their pull request is missing a changelog.', '🦋       A way to manage your versioning and changelogs with a focus on monorepos', 'ChatGPT desktop app', 'Automatically close Notion share link tabs after the desktop app opens.', 'clsx + tailwind-merge', 'Multiplayer live cursors', 'My personal settings and dotfiles.', 'Dead simple dotfile management with the full power of bash.', 'My personal dprint config.', 'DraftJS: import/export ContentState to and from HTML/Markdown', 'Auto formatter for device tree files.', 'An unofficial collection of linters and formatters configured for efm-langserver for neovim.', 'Emmet support based on LSP.', 'A GitHub action that takes ESLint results from a JSON file and adds them as annotated pull request comments', 'Simple and sensible ESLint config.', 'Auto-fixable sort rules for ESLint.', 'CLI to manage your Apple calendar events', 'Everything you need to extend Raycast.']"
,Expert,"['JavaScript', 'TypeScript', 'CSS', 'HTML', 'Shell']","['app', 'platform', 'amd', 'api', '1', 'typescript', 'velocity', 'blogs', 'aur', 'northwind']","['Information and resources related to Durandal Inc. projects', 'An implementation of the abstract Animator interface from templating which enables css-based animations.', 'An implementation of the abstract Animator interface from templating which enables velocity-based animations.', 'test environment for exercising the `Aurelia.d.ts` TypeScript definition file and related TypeScript tests', 'a project to get the latest aurelia libraries and bundle each (amd target) into a single amd bundle (using r.js)', 'As a Visual Studio TypeScript and C# developer building web-based, spatial information systems targeting a variety of platforms that leverage ESRI and SQL Server, I want a starter kit so that I can rapidly build implementations.', 'As a user, I want a walk through of creating a web app from the `aurelia-axel` starter kit, based of a familiar database (Northwind).', 'Aurelia and Bootstrap powered datagrid control', 'Aurelia Demo using TypeScript via gulp', 'A platform for building spatial Aurelia web apps using TypeScript and the ESRI JavaScript API', 'a repo to illustrate an issue with loading', 'alternative typescript porting strategy with simplifying assumptions - goal is to port all libs', 'A starter kit for working with the Aurelia TypeScript type definitions', 'atom ide flavored aurelia typescript samples', 'gulp build flavored aurelia typescript samples (use any editor including notepad++)', 'The Aurelia skeleton-navigation project, ported to TypeScript', 'sublime ide flavored aurelia typescript samples', 'vs2013 ide flavored aurelia typescript samples', 'vs2015 ide flavored aurelia typescript samples', 'webstorm ide flavored aurelia typescript samples', 'spike project to test out starting from scratch, karma testing on windows, and TypeScript VS IE breakpoints', 'A port of yolodev/babel-dts-generator (v0.2.x branch) to babel 6', 'A modern databinding library for JavaScript and HTML.']"
"CTO at Booksio, 360 Media Direct",Expert,"['JavaScript', 'Shell', 'Dockerfile', 'TypeScript', 'PHP']","['MindEye', 'Starter', 'server', 'DeepSea', 'import', 'FlushWritable', 'dotfiles', 'fs', 'MVC', 'Jexl']","['An alpine-node docker image, including automatic compatibility with linked docker-in-docker containers.', ':whale: Containerized Development Environment', 'An awesome README template to jumpstart your projects! ', ':whale: Containerize your development workflow.', 'Insanely configurable logging for Node.js', 'cluster socket.io processes. WARNING: works best with websocket/flashsocket (other types _will_ see dupes)', 'Run VS Code on a remote server.', 'Secure secret storage and cryptographic key retrieval for Node.js', 'A color scheme for IDEA-based *Storm IDEs.', ':whale: A minimal bootstrapper to turn a brand new Mac into a docker-based dev environment', 'Mostly original configs, totally original installer. Compatible with macOS and various Linuxes.', ':flags: Simple JSON Web Tokens (JWT) with embedded scopes for services', 'Run arbitrary commands instead of mocha to integrate with popular IDEs', 'A Node.js Writable stream that flushes before emitting finish', 'Distinct, informative, and fast ZSH prompt', 'Node.js client for the FS-EventBridge server', 'A command-line client to stream file changes to an FS-EventBridge server', 'A TCP server to stream file-change events to a remote destination, written in Rust.', 'A simple, no-infrastructural-frills Amazon ECS deployment script', 'Hydrogen is a PHP 5.3+ performance and portability library', 'A project template for using Hydrogen as an MVC framework', 'IMP: IRC Modularized Preprocessor. A Java-based single-channel IRC helper bot.', 'Javascript Expression Language: Powerful context-based expression parser and evaluator', 'A proof-of-concept drawing recognition app.', 'Snips arguments off of callback functions.', 'Automatically retry functions that fail, in crazily customizable ways.', 'Generates unique, pronounceable names, random and seedable', 'Powerful and customizable application health monitoring', 'Invision Power Board (IP.Board) data migrator to NodeBB']"
"Head of Product @Aitomatic. Co-creator/developer of OpenSSA. Robotics, AI & IoT Educational Program Leader @steamforvietnam. Robotics/AI coach & OSS dev.",Expert,"['Python', 'Makefile', 'Shell', 'Batchfile', 'Dockerfile']","['Courses', 'Chain', 'BumpVersion', 'AIOHTTP', 'Awesome', 'SphinxDoc', 'CollegeCompendium', 'Developer', 'PR', 'CorpFin']","['AI-related utilities', 'Asynchronous HTTP client/server framework for asyncio and Python', 'Python AST read/write', 'Removes unused imports and unused variables as reported by pyflakes', 'A curated list of awesome tools for Sphinx Python Documentation Generator', 'Bandit is a tool designed to find common security issues in Python code.', 'The uncompromising Python code formatter', 'A small command line tool to simplify releasing software by updating all version strings in your source code by the correct increment and optionally commit and tag the changes.', 'Version-bump your software with a single command', 'Version-bump your software with a single command', 'Python composable command line interface toolkit', '📓 A curated collection of free public Computer Science classes from colleges across America', 'Create committing rules for projects :rocket: auto bump versions :arrow_up: and auto changelog generation :open_file_folder: ', 'Cookiecutter template for a Python package.', 'Corporate Finance functionalities based on SymPy and Theano', 'List of Computer Science courses with video lectures.', ""Đồ ăn thức uống Đà Nẵng, Việt Nam - Lượm by Webuild's local members"", 'decorator', 'A platform for community discussion. Free, open, simple.', 'A light markup language', 'enterX whitepaper', 'flake8 is a python tool that glues together pycodestyle, pyflakes, mccabe, and third-party plugins to check the style and quality of some python code.', 'A fancy and practical functional tools', 'Galactic Dynamics in python', 'git-pr-chain', 'GitHub’s official command line tool', 'Godot Engine – Multi-platform 2D and 3D game engine']"
"Research Scientist at Microsoft (Translator), playing around with open source. ",Expert,"['Python', 'C++', 'Shell', 'Perl', 'Makefile']","['forcealign', 'cuda', 's2l', 'gemmlowp', 'mtm', 'neuralwipo', 'NewsRoom', 'ipython', 'mosesdecoder_nmt', 'eserix']","['Word alignment editor, uses GTK+, GooCanvas and sqlite3', 'Caffe: a fast framework for deep learning. For the most recent version checkout the dev branch. For the latest stable release checkout the master branch.', 'Contrastive evaluation of pronoun translation in neural machine translation', 'Samples for CUDA Developers which demonstrates features in CUDA Toolkit', 'MIT Deep Learning Book in PDF format', 'Webpage', 'C++ SRX sentence segmenter', 'Facebook AI Research Sequence-to-Sequence Toolkit written in Python.', 'Low-precision matrix multiplication', 'Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.', 'A lazy decoder for syntax', 'Lucene Phrase Table', 'Fast Neural Machine Translation in C++ - development repository', 'Moses, the machine translation system', 'Non-Metric Space Library (NMSLIB): An efficient similarity search library and a toolkit for evaluation of k-NN methods for generic non-metric spaces.', 'Jupyter Interactive Notebook', 'OpenEBS is containerized block storage written in Go for cloud native and other environments w/ per container (or pod) QoS SLAs, tiering and replica policies across AZs and environments, and predictable and scalable performance.  ']"
"Technology Evangelist who loves to build, mentor and share his experiences.",Expert,"['Shell', 'Ruby', 'JavaScript', 'Dockerfile', 'Go']","['dropbox', 'buildpack', 'server', 'contacts', 'atlrug4', 'api', 'chimera', 'dc', 'wordpress', 'products']","['Base Docker image containing Nginx running in Alpine Linux version 3.1.', 'A lightweight Rails image based on Alpine Linux', 'Rails 4 version of atlrug2', 'A serverless REST API service for products deployed to AWS. The data is stored in a DynamoDB table.', 'Backstage is an open platform for building developer portals', 'Backup is a RubyGem, written for Linux and Mac OSX, that allows you to easily perform backup operations on both your remote, as well as your local environment. It provides you with an elegant DSL in Ruby for modeling (configuring) your backups. Backup has built-in support for various databases, storage protocols/services, syncers, compressors, encryptors and notifiers which you can mix and match. It was built with modularity, extensibility and simplicity in mind.', 'Source for personal blog site.', 'Recruiting page for the RailsBridge Builders', 'Build a Docker container for any app using Heroku Buildpacks', 'Buildstep uses Docker and Buildpacks to build applications like Heroku', 'wrapper around buildstep', 'Minimal Docker base image with standard certificate authority root certificates', 'Index', 'A set of exercises to prepare for Certified Kubernetes Application Developer exam by Cloud Native Computing Foundation', 'A Go client for the CenturyLinkCloud API ', 'contacts datasource for rolodex', 'Minimal Vagrantfile for CoreOS', 'A library of UI components for CTL labs web projects', 'A Dropbox Docker container', 'Serf enabled haproxy docker container', 'Serf enabled nginx docker container', 'Doc repo for reddwarf project', 'rails app to be run as a docker service']"
,Expert,"['Java', 'Groovy', 'Shell', 'HTML', 'JavaScript']","['JustEnoughItems', 'ece203', 'CodeChickenLib', 'FTB', 'compactsolars', 'Chisels', 'ironshulkerboxes', 'Bot', 'Bits', 'IRC']","[""Biomes O' Plenty mod "", 'A Minecraft mod about chiseling and designing custom blocks in game.', 'Compact Solar Arrays for Minecraft and IndustrialCraft 2', 'AREDN Documentation Repository', 'DVS1 home page code', 'code for my ECE-203 course at school-- here for synching purposes--DO NOT CHEAT!!!!', 'An API for dynamically handling different functional parts in the one block space.', 'bot for #ftb', 'CurseApp moderation bot for FTB', 'homelab configs', 'iChunUtil as required by several of my mods.', 'A simple installer for creating Launcher profiles', 'Java based IRCLib used for ForgeIRC', 'Iron Chest minecraft mod  by CPW', 'Iron Shulker Boxes formerly from Iron Chests', ""Java implementation of the CurseApp API's"", 'Java based api for curseforge', 'Serves Javadocs out of Maven repositories', 'TCon build server IRC bot', 'A simple mod proving some useful functions for map-based mod packs', 'Public shared library for Forge mods', 'FTB Master Configs', 'An integration testing framework for Minecraft', 'Modifications to the Minecraft base files to assist in compatibility between mods.', 'My entry for ModJam #2. ', 'Heyo, redwood trees! Chop them all day long~']"
"Tech entrepreneur, 4x Microsoft MVP, @MemphisAzure, Passive income, Crypto advocate, Trained composer, Challenging the status quo 🇺🇸🇺🇸",Expert,"['Python', 'HTML', 'CSS', 'JavaScript', 'Jupyter Notebook']","['im121911', 'ai', 'MCCXFDemo', 'iwsdemo', 'four_tracker', 'DevSpace16DataScience', 'MCCDSDemos', 'memdotnet0718', 'CoreStore', 'flask']","[""Demo application for my SkillShare course: 'Flask: What's in it For You'"", ""Demo project for the Pluralsight Guide 'Testing ASP.NET Core Apps - The Cross-Platform Developer Experience'"", ""Slides and sample code from my presentation 'Be Charmed by the Google Cloud Platform with Python'"", 'Slides and (eventually) code from my presentation at DevSpace 2016', '12 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/', 'Slides and demos from my presentation Data Science for Python Folks Without (or With!) a Ph.D. at Granite State Code Camp 2023', 'Samples for my Music City Code 2017 Workshop - Python with Data Science and Friends', ""Slides and Demo Code from 'A Lap Around Xamarin' at Music City Code 2017"", 'A list of links (regularly updated) of user groups related to the Memphis Azure User Group.', 'From the July 2018 Memphis .NET User Group', 'A summary of what was discussed at the March MEMpy meeting', 'Code sample and slides from my Mempy December 2011 presentation on Google App Engine']"
"QA Automation Engineer

",Expert,"['Ruby', 'HTML', 'CSS', 'JavaScript', 'CoffeeScript']","['basic', 'methods', 'reading', 'app', 'photo', 'crud', 'prework', 'api', 'Of', 'online']","['Fork this template for the 301 Days journal - to keep yourself accountable.', 'JavaScript and Rails Project for Flatiron School ', 'Sample code for the ASP.NET Core 3 and Angular 9 programming book', 'JavaScript and Rails Project for Flatiron School ', 'Rails/JS project for Flatiron School ', 'JavaScript and Rails Project for Flatiron School', 'Sinatra Portfolio Project', 'Sinatra Portfolio Project ']"
,Expert,"['Python', 'C++', 'Shell', 'C', 'MATLAB']","['amass', 'd2drdf', 'Blog', 'GISContouring', 'dotfiles', 'nileshkulkarni.github.io', 'cluster_utils', 'dp', 'CS296', 'django']","['Official implementation of ""Articulation Aware Canonical Surface Mapping""', 'CS 386 lab, 2013 ', 'Personal Github Pages', 'Data preparation and loader for AMASS', 'CS 152 project', 'cluster scripts for slurm', 'Project repo for Learning Category-Specific Mesh Reconstruction from Image Collections', ""COUCH: Towards Controllable Human-Chair Interactions, ECCV'22"", 'CS296', 'Code release for ""Canonical Surface Mapping via Geometric Cycle Consistency""', 'The Web framework for perfectionists with deadlines.', 'Storehouse of all dotfiles!', 'A deep learning library for streamlining research and development using the Torch7 distribution.', 'Code release for ""Factoring Shape, Pose, and Layout from the 2D Image of a 3D Scene""', 'Summer 2012 project on Contouring ', 'NbodySimulation', 'Neural Interaction Fields for Trajectory sYnthesis', 'Personal website']"
Senior Director of Engineering & Infrastructure @stellarwp,Expert,"['PHP', 'Shell', 'JavaScript', 'CSS', 'Vim Script']","['s3', 'driver', 'borkweb', 'parsets', 'advanced', 'borkweb.github.com', 'launcher', 'updater', 'bitbar', 'utility']","['Check if a file or directory exists in an S3 bucket', 'Advanced Post Manager', 'asdf', 'My BitBar scripts', 'A MediaWiki skin using Bootstrap 4 & FontAwesome 4', 'A collection of my Minecraft (Tekkit) ComputerCraft scripts', 'A simple WP theme to replace my GoogleIG page.', 'My Bork syntax theme for Atom.io', 'These are Minecraft ComputerCraft scripts specific to the layout of Borkhold', 'Some People Are Squirrel Handed', 'My own personal codesniffer ruleset for WordPress development', 'A collection of ComputerCraft scripts', 'Multiple bylines for WordPress', 'The Columnizer jQuery Plugin will automatically layout your content in newspaper column format. You can specify either column width or a static number of columns. And, of course, it’s easy to use!', 'Generates and reads the wp-config.php file.', 'Reindent and reformat CSS', 'An interactive parallel sets visualisation for D3.js.', 'Dark Jedi Brotherhood core WordPress plugin', 'Docker configuration files for my local development environment', 'A Dockerfile that installs the latest wordpress, nginx and php-fpm.', 'This is a playground for some Symfony Console stuff', 'My current dotfiles', 'Dotfiles using ansible', 'Some common scripts I use in my world', 'My ~/.js directory for dotjs!', 'BotMan Slack Driver', 'Manages plugins and themes, including installs, activations, and updates.', 'GigaOM Code Standards for PHP CodeSniffer', 'This WP plugin will update GitHub, Bitbucket, GitLab, and Gitea hosted plugins and themes']"
"C++ Programmer, Game Developer, Computer Scientist.",Expert,"['C++', 'CMake', 'C', 'Makefile', 'GLSL']","['ClassicAstroids', 'gitignore', 'server', 'Survial', 'application', 'calculate_PI', 'College_Major_Advisor', 'barebones', 'current', 'caveman_chatbot']","['Example cmake setup of a SDL2 RPG style 2D game.', 'A library for game development. Handles 3D Graphics, Skyboxes, Sound, Lights, Skeletal Animations, Core Game Loop and more!', 'An Open Source 3D game engine.', 'A dino and weapon damage calculator tool for ARK: Survival Evolved built on Qt. No longer maintained, left up for reference.', 'The official Open-Asset-Importer-Library Repository. Loads 40+ 3D-file-formats into one unified and clean data structure. ', 'windows server', 'This is, in my opinion, the best starting makefile for a cpp project.', 'Test CLI program to calculating PI sequentially or with parallel processing', 'Asteroids Game Example. Testing my AncientArcher Library to implement it.', 'Advises user on what they should go to college for. Just some old test program for a class.', 'c++ program for parsing counts from files', 'Improved, yet not overpowered, sky beacon loot drops for ARK: Survival Evolved. No longer maintained, left up for reference.', 'task priority management from the command line', 'Interactive terminal D&D helper toolbox program for Dungeon Masters, players, and worldbuilders.', 'Command Line D&D5e helper tool intended for Dungeon Masters.', '5th Edition Spells - curated into a json format. also a big list of special woods and metals', 'Basic program to calculate how much you are making for an eBay sale.', 'hello world of testing out enet client-server locally', 'Random English name generator', 'A collection of useful .gitignore templates', 'OpenGL Mathematics (GLM)', 'A 3D component-based game engine ', 'A base timing loop for C++ games and apps.', 'An example command line program to create and manage any number of email lists.', 'Autohotkey script to mute the current application']"
Edge Mobile App & Security platform for Bitcoin and blockchain technologies,Expert,"['JavaScript', 'Shell', 'HTML', 'CSS', 'C']","['server', 'recovery', 'android', 'design', 'plugins', 'api', 'private', 'ofx', 'airbitz', 'docs']","[""CLI tool for interacting with the Airbitz login system and wallet API's"", 'A web-based interface to the Airbitz CLI tool', 'Bitcoin wallet C/C++ API for building cross-platform applications that require user authentication, encryption, backup, and meta-data management. This library alone implements the full functionality of the Airbitz Edge Security platform and bitcoin wallet minus the graphical interface. ', 'Docs located at https://developer.airbitz.co/javascript/', 'IO dependencies for running airbitz-core-js on node.js', 'Objective-C bindings for Airbitz core with CocoaPods installation', 'Bitcoin wallet C/C++ API for building cross-platform applications that require user authentication, encryption, backup, and meta-data management.  This library alone implements the full functionality of the Airbitz Edge Security platform and bitcoin wallet minus the graphical interface.', 'Sample React Native app that can include airbitz-core-js-ui for the login subsystem', 'Flow types for airbitz-core-js structures and classes', 'Airbitz business directory', 'Airbitz iOS wallet', 'Airbitz iOS GUI', 'Airbitz CSV export to Quickbooks QBO/OFX file import format', 'Cross platform code for Airbitz wallet apps', 'Airbitz Wallet Javascript Plugin API', 'Deprecated. Use public repository', 'Sample ReactNative app using AirbitzCore', 'Airbitz Wallet Core library code', 'A demo app for working with the Airbitz api']"
,Expert,"['Shell', 'Makefile', 'Rust', 'HTML', 'Python']","['coreutils', 'agda', 'Contributions', 'Dash', 'book', 'encoder', 'dhall', 'bytecount', 'amx', 'collect_slice']","['An interactive theorem prover based on lambda-tree syntax', 'Arm C Language Extensions (ACLE)', 'Experimental actor implementation', 'Agda is a dependently typed programming language / interactive theorem prover.', 'AISmessages is a Java-based light-weight, zero-dependency, and ultra-efficient message decoder for maritime navigation and safety messages compliant with ITU 1371 (NMEA armoured AIS messages). A live demo of AISmessages is available on http://ais.tbsalling.dk.', 'Apple AMX Instruction Set', 'An implementation of type theory, focused on computation and extensibility', 'The Arm ASTC Encoder, a compressor for the Adaptive Scalable Texture Compression data format.', 'Firmware Analysis Tool', 'BNF Converter', 'A textbook on informal homotopy type theory', '🍺 The missing package manager for macOS (or Linux)', 'Counting occurrences of a given byte in a slice of memory – fast', 'Calculate the measures of simplices through the Cayley-Menger determinant.', 'Generalized stream processors', 'Rust Language Cheat Sheet - https://cheats.rs', 'A Java Serialisation Library that supports multiple formats', 'Java-based Web Framework for Alibaba Group', 'Maintainance fork', ""Allocation-free data structures that make do with the memory they're given"", 'Collect an iterator into a slice.', 'Equality Saturation for Concurrent Systems (code and report)', 'An easy-to-use, 2D GUI library written entirely in Rust.', 'Heinous hackery to concatenate constant strings.', 'Cross-platform Rust rewrite of the GNU coreutils', 'ARM Assembly Reference Manual for https://kapeli.com/dash', 'Script to make Dash docset of Coq', 'Dash repo of user contributed docsets', 'An Emacs major mode for editing Dwarf Fortress “raw” files', 'Maintainable configuration files']"
"Principal @ Inner Product LLC.
Author of ""Essential Effects"".",Expert,"['Scala', 'Shell', 'Java', 'JavaScript', 'HTML']","['dropwizard', 'bookmarks', 'Barkety', 'vscode', 'giter8', 'magic', 'essential', 'frinkit', 'cats', 'http4s']","['Scala/Akka XMPP client library', 'Build and Release Tools', 'mapreduce in bash', 'Lightweight, modular, and extensible library for functional programming.', 'The IO monad for Scala', 'Convenience Configuration Library for Java', ""Oddly enough, a Scala wrapper for Typesafe's (pure-Java) Config library."", 'Apache Daffodil', 'Apache Daffodil VSCode', 'The Scala Documentation website', 'An example of a Dropwizard service.', 'ZooKeeper co-process for instance monitoring, backup/recovery, cleanup and visualization.', 'Phi accrual failure detector', 'esper made easy', 'Why do functional programmers always talk about algebra(s)?', 'Extra functions for Frink', 'Compositional, streaming I/O library for Scala', 'Traditional xUnit-style tests inherently contain too many ways to give us false confidence in our tests. This talk describes these limitations and demonstrates how ""generative testing"" improves both the testing model and one\'s confidence.', 'a command line tool to apply templates defined on github ', 'Mirror of Apache Hadoop', 'A standard HTTP layer for Scala', 'Java integration for collectd', 'jDBI is designed to provide convenient tabular data access in Java(tm). It uses the Java collections framework for query results, provides a convenient means of externalizing sql statements, and provides named parameter support for any database being used.']"
